tokens,caracteres,palabras_unicas
65,429,33
66,399,38
68,404,33
149,899,37
43,271,33
38,226,25
79,426,20
54,258,14
44,260,17
23,139,12
77,560,44
60,343,27
53,314,33
27,163,25
199,1327,168
143,819,50
117,605,27
55,324,31
45,295,21
76,477,33
92,575,79
45,254,29
16,90,14
165,1030,43
46,240,22
147,973,48
21,123,15
22,130,15
47,273,11
72,414,40
32,191,19
93,528,62
57,334,20
38,241,36
192,1224,136
101,652,65
30,175,23
87,522,47
103,621,64
62,423,60
110,697,83
26,163,13
118,655,41
67,439,36
126,795,89
105,628,62
52,330,26
71,381,34
178,1034,37
60,412,47
79,486,53
61,399,46
95,592,35
91,574,74
39,225,26
114,828,100
59,356,45
80,490,43
141,849,67
175,1162,152
15,83,14
43,263,22
43,241,25
29,166,20
124,711,45
58,336,31
33,196,23
60,387,36
102,603,53
119,718,95
55,353,34
153,759,43
55,351,32
39,297,37
57,368,30
71,451,48
81,469,54
52,307,23
153,918,96
79,516,47
195,1285,170
80,451,46
68,486,51
87,526,73
170,1027,52
39,216,31
36,231,31
68,357,26
50,347,22
115,724,61
41,263,23
18,120,16
45,238,26
25,143,19
66,396,47
36,205,30
29,178,20
67,419,33
73,424,51
24,139,21
98,586,51
45,269,18
42,261,26
114,786,45
92,565,59
117,722,54
84,525,56
75,439,33
97,603,52
103,570,38
96,710,91
129,929,49
38,215,13
100,622,77
64,406,45
116,689,82
144,862,94
48,300,35
66,413,39
93,522,43
144,858,42
59,341,33
27,156,17
88,496,36
35,220,27
164,1033,119
61,328,30
20,124,15
59,363,43
70,406,43
36,237,30
83,452,32
111,737,78
187,1177,99
107,627,32
47,302,8
68,455,23
122,779,108
52,309,23
57,362,27
4,31,1
177,1175,108
146,873,102
88,528,35
98,583,51
103,601,42
66,385,25
107,742,28
76,478,38
51,286,31
108,732,94
44,266,24
80,486,22
53,356,37
61,365,54
49,277,4
93,540,56
169,1048,83
79,456,56
132,785,50
50,284,22
62,373,34
97,621,40
99,551,36
30,172,21
78,534,28
37,232,28
86,519,51
132,753,94
62,436,20
45,267,21
134,748,41
67,400,42
27,150,23
120,793,74
29,170,16
45,278,25
46,300,15
74,422,27
50,275,18
64,390,24
55,383,37
19,121,12
70,420,29
127,683,23
110,619,44
74,467,33
82,472,38
88,497,41
65,386,33
45,245,32
68,385,36
112,726,52
36,204,21
31,183,27
45,252,15
63,370,40
69,413,29
165,1042,131
46,287,30
33,170,14
56,309,21
77,519,51
57,296,22
58,350,41
73,427,28
20,121,14
88,562,55
37,213,27
62,336,34
162,925,52
156,869,94
12,65,2
77,453,28
133,938,32
65,368,29
39,223,19
57,361,41
47,282,8
60,345,40
58,318,30
146,862,64
35,228,33
117,689,83
